"country","countryCode","date","isVerified","position","productAsin","ratingScore","reviewDescription","reviewImages/0","reviewImages/1","reviewImages/2","reviewImages/3","reviewReaction","reviewTitle","reviewUrl","reviewedIn","variant"
"United States","🇺🇸","2022-11-26","true","21","B07C2BHFCN","4","Both of my kids take these and they both have no issue with taking them, I have tried them as well. The taste is not the greatest but I’m just glad my kids approve of them and are getting and missed nutrition.",,,,,"2 people found this helpful","My 4 and 6 year old love these","https://www.amazon.com/gp/customer-reviews/R2UN5XQ1UV6D6R/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07C2BHFCN","Reviewed in the United States 🇺🇸 on November 26, 2022","Style: Multivitamin Only"
"United States","🇺🇸","2023-03-14","true","22","B07C2BHFCN","3","The bottle arrived with the label crumpled and the bottle banged up. I'm not trying to be fussy, but what's with that. [That's a rhetorical question, Amazon - this is not a ""question.""] However, the interior seal was intact so it's only a superficial issue. On the up sided, my 3 year old likes them.","https://m.media-amazon.com/images/I/41DPAMHs8HL._SY88.jpg",,,,"One person found this helpful","mangled packaging","https://www.amazon.com/gp/customer-reviews/RRBTQ0NEJ7VPQ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07C2BHFCN","Reviewed in the United States 🇺🇸 on March 14, 2023","Style: Multivitamin Only"
"United States","🇺🇸","2023-03-26","true","23","B07C2BHFCN","3","In America we love having sweet stuff just because but none of the sugar is needed for or body so you want your kids get addicted to sugar…",,,,,"","Just another sugary vitamin","https://www.amazon.com/gp/customer-reviews/R9P22GPRZ7QB2/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07C2BHFCN","Reviewed in the United States 🇺🇸 on March 26, 2023","Style: Multivitamin Only"
"United States","🇺🇸","2023-02-11","true","24","B07C2BHFCN","5","My kids love these! Sometimes I take some myself. Taste just like candy. No aftertaste. Great price.",,,,,"","Delicious","https://www.amazon.com/gp/customer-reviews/R1MV6UWLYL7GK4/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07C2BHFCN","Reviewed in the United States 🇺🇸 on February 11, 2023","Style: Multivitamin Only"
"United States","🇺🇸","2022-11-03","true","25","B07C2BHFCN","4","They are tasty, but kind of too mushy with a sugar coating, so they stick to each other too much. A bit on the expensive side.",,,,,"3 people found this helpful","Sticky","https://www.amazon.com/gp/customer-reviews/R2SPT5H97LGPMJ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07C2BHFCN","Reviewed in the United States 🇺🇸 on November 3, 2022","Style: Multivitamin Only"
"United States","🇺🇸","2023-01-26","true","26","B07C2BHFCN","5","Great taste to price ratio. Toddler loves them to the point of wanting more than one per day.",,,,,"2 people found this helpful","Tasty","https://www.amazon.com/gp/customer-reviews/R2REWSTBKCMH9B/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07C2BHFCN","Reviewed in the United States 🇺🇸 on January 26, 2023","Style: Multivitamin Only"
"United States","🇺🇸","2023-01-28","true","27","B07C2BHFCN","5","Ami niño le en canto son buenas el sabor llego en muy buen estado","https://m.media-amazon.com/images/I/71TmVkXfHcL._SY88.jpg","https://m.media-amazon.com/images/I/71TyE084WcL._SY88.jpg",,,"","Muy buenas","https://www.amazon.com/gp/customer-reviews/R1H73O5F7PCVDP/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07C2BHFCN","Reviewed in the United States 🇺🇸 on January 28, 2023","Style: Multivitamin Only"
"United States","🇺🇸","2023-02-08","true","28","B07C2BHFCN","3","Got these today so this is a very early review. These multivitamin gummies taste fine and are soft enough for my young kids to chew daily. My only gripe is that they all stuck together in one clump in the container, so separating them got a little messy/sticky.",,,,,"One person found this helpful","Taste fine but gummies are all stuck together","https://www.amazon.com/gp/customer-reviews/R332N9EW9E1QLU/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07C2BHFCN","Reviewed in the United States 🇺🇸 on February 8, 2023","Style: Multivitamin Only"
"United States","🇺🇸","2023-02-19","true","29","B07C2BHFCN","3","Too sweet.  My kid did not like the taste.",,,,,"","Too sweet","https://www.amazon.com/gp/customer-reviews/RGRLYRG78L1AO/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07C2BHFCN","Reviewed in the United States 🇺🇸 on February 19, 2023","Style: Multivitamin Only"
"United States","🇺🇸","2022-10-09","true","30","B07C2BHFCN","4","No better value",,,,,"","Elite","https://www.amazon.com/gp/customer-reviews/RVP0BHR6E2AVW/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07C2BHFCN","Reviewed in the United States 🇺🇸 on October 9, 2022","Style: Multivitamin Only"
"United States",,"2022-07-02","true","71","B07C2BHFCN","5","The kids love them and they didn’t cost an arm and a leg! Win/win!",,,,,"One person found this helpful","Great value","https://www.amazon.com/gp/customer-reviews/R13X3RS0JV44P9/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07C2BHFCN","Reviewed in the United States on July 2, 2022","Style: Multivitamin Only"
"United States",,"2022-01-15","true","72","B07C2BHFCN","5","This is SO FREAKING DELICIOUS I always eat after lunch, like 3 or 4. This is so tasty I can't believe how they could do something like that? My son doesn't like to chew gummy stuff due to his sensorial problems but I ate all the gummies and I was so happy 😁",,,,,"One person found this helpful","Omg I'm afraid I'll overdose","https://www.amazon.com/gp/customer-reviews/RNI4OYJTKWMRQ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07C2BHFCN","Reviewed in the United States on January 15, 2022","Style: Multivitamin Only"
"United States",,"2020-12-04","true","73","B07C2BHFCN","5","In terms of value and quality, these are a top pick. Ive tried numerous other brands over the years and always come back to these. I feel the quality is comparable to any name brand but at half the cost. Plus, my daughter loves the taste and often reminds me to give her one when I forget. There’s no weird aftertaste and the bottle doesn’t smell gross when you open it. I recommend for any parent looking for a broad spectrum kids vitamin that doesn’t break the bank.",,,,,"","Checks all the boxes","https://www.amazon.com/gp/customer-reviews/R13TN9MGZ7J2X3/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07C2BHFCN","Reviewed in the United States on December 4, 2020","Style: Multivitamin Only"
"United States",,"2022-07-27","true","74","B07C2BHFCN","5","Es un buen complemento alimenticio.",,,,,"2 people found this helpful","Mis hijos se la comen y les gusta, tengo que esconderlas...muy buenas.","https://www.amazon.com/gp/customer-reviews/R26EUY6946IEU/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07C2BHFCN","Reviewed in the United States on July 27, 2022","Style: Multivitamin Only"
"United States",,"2021-02-08","true","75","B07C2BHFCN","5","We eat primarily WFPB in my home, my kids rarely have sugar. So these are a win win because they think they’re “treats”, they love the flavor and I agree with them (as I take them occasionally too). They’re on the sweeter side but not in a gross way. We purchase 2 bottles a month for my 4 & 6 year old to take 2 vitamins each a day. We’ve been using them for almost a year.",,,,,"3 people found this helpful","Treats for my kids","https://www.amazon.com/gp/customer-reviews/RWURM2WXJ5Z3A/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07C2BHFCN","Reviewed in the United States on February 8, 2021","Style: Multivitamin Only"
"United States",,"2022-05-22","true","76","B07C2BHFCN","5","Very good  vitamins for kids .. very tasty .. highly recommended ..",,,,,"","The best vitamins for kids it’s also very tasty","https://www.amazon.com/gp/customer-reviews/R2GNHCG3BZ4SSI/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07C2BHFCN","Reviewed in the United States on May 22, 2022","Style: Multivitamin Only"
"United States",,"2020-04-22","true","77","B07C2BHFCN","4","Updated: Make sure your read the instructions for the correct dosage. The first bottle I had said give 2 gummies for a 2 year old and the new bottle I got says only 1 gummy for children ages 2-3 years. I still like the brand but that's just something I noticed.MY FAVORITE BRAND !!! I love love love how there's no extra added sugar on the outside. The price is decent for 2 months worth. I am happy with my purchase.",,,,,"","Pay Attention to the Instructions For Correct Dosage","https://www.amazon.com/gp/customer-reviews/R17A8WV2MBF81D/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07C2BHFCN","Reviewed in the United States on April 22, 2020","Style: Multivitamin Only"
"United States",,"2021-01-05","true","78","B07C2BHFCN","5","These are delicious! I got them for my kids and had to try one because they popped them in their mouths and the first response was “these are so good!”They don’t have a gummy texture, but more of a fruit chew texture if that makes sense. To compare them to a similar texture would be like motts fruit chews. You can bite through one with ease. They aren’t gummy like gummy bears or gummy worms.",,,,,"","Delicious!","https://www.amazon.com/gp/customer-reviews/RZVW1MXGDKMLP/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07C2BHFCN","Reviewed in the United States on January 5, 2021","Style: Multivitamin Only"
"United States",,"2022-07-06","true","79","B07C2BHFCN","5","Kids liked it",,,,,"","Good multivitamin","https://www.amazon.com/gp/customer-reviews/RQMDD0RS4AX4C/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07C2BHFCN","Reviewed in the United States on July 6, 2022","Style: Multivitamin Only"
"United States",,"2021-01-17","true","80","B07C2BHFCN","5","I know these say they're for kids, but it's such a very nice break from the many pills I need to swallow every day to have at least one thing I can chew. Also, I get enough vitamins in my food that I don't need the megadoses in most multivitamins, so I can take 1 per day just in case I'm a little low on something. I recommend these.",,,,,"","Delicious and easy","https://www.amazon.com/gp/customer-reviews/RVWU9MOMLLZF4/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07C2BHFCN","Reviewed in the United States on January 17, 2021","Style: Multivitamin Only"
"United States",,"2022-02-25","true","41","B07C2BHFCN","4","My kids love them. The only problem is the bottle size. I wish they had a larger option. It says one month supply but when you have multiple kids it's far less than a month. It's such a waste of plastic to have to order several. Just make a bigger one for people who want it.",,,,,"4 people found this helpful","Kids love them","https://www.amazon.com/gp/customer-reviews/R3NY3U8S2FTALL/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07C2BHFCN","Reviewed in the United States on February 25, 2022","Style: Multivitamin Only"
"United States",,"2022-04-07","true","42","B07C2BHFCN","4","So I have a very picky 3 year old who liked these at first but now she doesn’t. I haven’t tried them but they smell good. I think it’s a very good price for the amount that you get.",,,,,"2 people found this helpful","My daughter liked them at first","https://www.amazon.com/gp/customer-reviews/RSJHFMRIPHIJD/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07C2BHFCN","Reviewed in the United States on April 7, 2022","Style: Multivitamin Only"
"United States",,"2022-10-03","true","43","B07C2BHFCN","5","These gummies are easy to chew and smell yummy. Can’t go wrong with something your kids will digest.",,,,,"","So far so good","https://www.amazon.com/gp/customer-reviews/R2LVR95VE1VW4Y/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07C2BHFCN","Reviewed in the United States on October 3, 2022","Style: Multivitamin Only"
"United States",,"2022-10-11","true","44","B07C2BHFCN","5","Kids love it and have it regularly. Sometimes they feel it’s too sweet.",,,,,"","Good but little costly","https://www.amazon.com/gp/customer-reviews/R166OQIWNNTPPY/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07C2BHFCN","Reviewed in the United States on October 11, 2022","Style: Multivitamin Only"
"United States",,"2022-11-06","true","45","B07C2BHFCN","5","Excellent taste",,,,,"One person found this helpful","Kids like the taste","https://www.amazon.com/gp/customer-reviews/R34K2LXPVAWDWF/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07C2BHFCN","Reviewed in the United States on November 6, 2022","Style: Multivitamin Only"
"United States",,"2020-01-14","true","46","B07C2BHFCN","5","I *LOVE* these prenatal vitamins!  The flavors are excellent- they come in strawberry-banana, orange, and lemon.  And the gummy texture is perfect- not too chewy, not too tough.  Each vitamin is about the size of a spice drop. And they do not contain iron, so they won’t upset your stomach like prenatal vitamins that do contain iron (be sure to get your nonheme iron from your diet- beans, spinach, etc.!).  And I like the ingredients.  I wanted a vitamin that was free of soy, dairy, peanuts, wheat, and GMO’s, and these are free of all of those and more!  The vitamins and minerals are excellent for prenatal health and for breastfeeding support.  I also appreciate that SmartyPants supports Vitamin Angles, a charity that provides vitamins to mothers and children who are malnourished.  SmartyPants also makes a vegan capsule formulation.  I still take these vitamins after my daughter was born and after she weaned from breastfeeding, because they make my nails super strong!",,,,,"","Best prenatal gummy!","https://www.amazon.com/gp/customer-reviews/R3MFK4DEVEU56T/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07C2BHFCN","Reviewed in the United States on January 14, 2020","Style: Multivitamin Only"
"United States",,"2022-07-02","true","47","B07C2BHFCN","5","We can't beat the flavor of these gummy vitamins! They are absolutely delicious. You just got to be careful that you keep them out of reach of children because they will eat them thinking that they are candy.",,,,,"One person found this helpful","Why do they have to make gummy vitamins taste so delicious?","https://www.amazon.com/gp/customer-reviews/RTKUM71JOU10S/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07C2BHFCN","Reviewed in the United States on July 2, 2022","Style: Multivitamin Only"
"United States",,"2022-07-17","true","48","B07C2BHFCN","5","My kids love to take these gummies at bedtime. I like that they are an easy to consume vegan multivitamin. No animals harmed and kids getting a few more vitamins to complement their diet.",,,,,"One person found this helpful","Great option for plant-based and vegan kids","https://www.amazon.com/gp/customer-reviews/R196XU8054ZN0C/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07C2BHFCN","Reviewed in the United States on July 17, 2022","Style: Multivitamin Only"
"United States",,"2022-10-10","true","49","B07C2BHFCN","5","A mi hijo le gusta.",,,,,"","Bueno","https://www.amazon.com/gp/customer-reviews/R296APIXJF7AWN/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07C2BHFCN","Reviewed in the United States on October 10, 2022","Style: Multivitamin Only"
"United States",,"2022-05-14","true","50","B07C2BHFCN","5","My kids ask for them every day. 6 and 4 year olds get 2, 2 year old gets 1. Had a rough winter of being sick that prompted this purchase and so far am very happy with them! 100% dv of Vit D and B12 is awesome",,,,,"One person found this helpful","Kid approved","https://www.amazon.com/gp/customer-reviews/R1S2SGMO1CI58U/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07C2BHFCN","Reviewed in the United States on May 14, 2022","Style: Multivitamin Only"
"United States","🇺🇸","2020-04-22","true","141","B07C2BHFCN","5","My daughter LOVES these.  Even at 13 months they are easy for her to chew and she is excited to take one every morning!  Much easier than trying to fight her on liquid vitamins!  My husband and I both tried them first and honestly they taste like candy",,,,,"","Super yummy","https://www.amazon.com/gp/customer-reviews/R2FEIVYB7BQESB/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07C2BHFCN","Reviewed in the United States 🇺🇸 on April 22, 2020","Style: Multivitamin Only"
"United States","🇺🇸","2021-05-23","true","142","B07C2BHFCN","5","My kids love these gummies for its tangy taste.  It’s. Valuable for the money spent on this brand",,,,,"","Vegan gummies","https://www.amazon.com/gp/customer-reviews/R1RV298TUDNPYU/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07C2BHFCN","Reviewed in the United States 🇺🇸 on May 23, 2021","Style: Multivitamin Only"
"United States","🇺🇸","2021-09-16","true","143","B07C2BHFCN","3","These gummy vitamins are hard to chew. Flavor is OK. My littlest wouldn't take them so I tried one, very chewy, no wonder she refused.  There's better options than this.",,,,,"","Hard gummies","https://www.amazon.com/gp/customer-reviews/R34W0BGFNRV35D/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07C2BHFCN","Reviewed in the United States 🇺🇸 on September 16, 2021","Style: Multivitamin Only"
"United States","🇺🇸","2021-01-16","true","144","B07C2BHFCN","5","Purchased these with the daily deal discount and so glad I did! Kids love them, orange is least favorite flavor but for the price we'll likely order again.",,,,,"","Kids love them!","https://www.amazon.com/gp/customer-reviews/R1GM7J19ATCP8F/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07C2BHFCN","Reviewed in the United States 🇺🇸 on January 16, 2021","Style: Multivitamin Only"
"United States","🇺🇸","2021-10-24","true","145","B07C2BHFCN","5","My 5 year old loves these and takes one daily!",,,,,"","My son loves these","https://www.amazon.com/gp/customer-reviews/R2HEK42O3AOH6Q/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07C2BHFCN","Reviewed in the United States 🇺🇸 on October 24, 2021","Style: Multivitamin Only"
"United States","🇺🇸","2021-08-04","true","146","B07C2BHFCN","3","Product looks great but I was sent a bottle that expires this month. I did an exchange for a new bottle and was sent the same lot also expired.MAKE SURE YOU CHECK EXPIRATION!","https://m.media-amazon.com/images/I/C1nRopZq5US._SY88.jpg",,,,"","Great product but expired!","https://www.amazon.com/gp/customer-reviews/R2QZYXJ9Q7KXL0/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07C2BHFCN","Reviewed in the United States 🇺🇸 on August 4, 2021","Style: Multivitamin Only"
"United States","🇺🇸","2020-07-27","true","147","B07C2BHFCN","4","My kids didn’t love them, but at least they didn’t refuse them like some other chewables.",,,,,"","Ok","https://www.amazon.com/gp/customer-reviews/R2IY9HQ64R3CVB/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07C2BHFCN","Reviewed in the United States 🇺🇸 on July 27, 2020","Style: Multivitamin Only"
"United States","🇺🇸","2020-07-06","true","148","B07C2BHFCN","4","My daughter likes them but not her favorites , overall they’re good at a decent price .",,,,,"","Not too bad","https://www.amazon.com/gp/customer-reviews/R34HBZUIUKJDU2/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07C2BHFCN","Reviewed in the United States 🇺🇸 on July 6, 2020","Style: Multivitamin Only"
"United States","🇺🇸","2021-07-27","true","149","B07C2BHFCN","5","My 8 year old loves them. I don't have to coax her into taking them",,,,,"","Tastes good.","https://www.amazon.com/gp/customer-reviews/R3OHLKOIG86PBA/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07C2BHFCN","Reviewed in the United States 🇺🇸 on July 27, 2021","Style: Multivitamin Only"
"United States","🇺🇸","2021-05-30","true","150","B07C2BHFCN","5","We love these hummus multivitamins. Good flavor and easy to chew. My kids and I love them !",,,,,"","Easy to chew and good flavor","https://www.amazon.com/gp/customer-reviews/R118CHZMTVPWS1/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07C2BHFCN","Reviewed in the United States 🇺🇸 on May 30, 2021","Style: Multivitamin Only"
"United States","🇺🇸","2020-10-28","true","671","B07C2BHFCN","5","My daughter liked the taste and were easy to take. It would be nice to choose one favor instead of having a mix, because she tends to avoid the orange ones. Otherwise, love them!",,,,,"","Good kids vitamin!","https://www.amazon.com/gp/customer-reviews/RVJNQJAVXZISP/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07C2BHFCN","Reviewed in the United States 🇺🇸 on October 28, 2020","Style: Multivitamin Only"
"United States","🇺🇸","2019-08-04","true","672","B07C2BHFCN","5","My 3 year old loves these! Great for the price! These will be our new go to multivitamins!",,,,,"","Great price and 3 year old loves them!","https://www.amazon.com/gp/customer-reviews/RZ4N3ZB3YRERK/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07C2BHFCN","Reviewed in the United States 🇺🇸 on August 4, 2019","Style: Multivitamin Only"
"United States","🇺🇸","2019-08-18","true","673","B07C2BHFCN","5","My 2 year old loves the flavor of these and is always wanting more! I acctually really like the flavor and texture of these myself. I was worried about them being too chewy but they are they are very easy to chew and not a concern at all for my daughter.",,,,,"","My toddler begs for these gummies!","https://www.amazon.com/gp/customer-reviews/R2T21LMC7BS69X/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07C2BHFCN","Reviewed in the United States 🇺🇸 on August 18, 2019","Style: Multivitamin Only"
"United States","🇺🇸","2021-01-15","true","674","B07C2BHFCN","4","I bought these for my child when I couldn’t find the other vitamins I normally get them. She has complained about the taste of them. I would have to hide her other gummies because she would eat them like candy. Not an issue with these lol but seem to be a good product ingredient wise",,,,,"","Good product but my kid doesn’t like the flavor","https://www.amazon.com/gp/customer-reviews/R34J2EEDFZQGOV/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07C2BHFCN","Reviewed in the United States 🇺🇸 on January 15, 2021","Style: Multivitamin Only"
"United States","🇺🇸","2023-03-21","true","675","B07C2BHFCN","5","I bought these for my two kids and they love them. I love how they don’t have sugar all over them like a lot I’ve purchased in the past.",,,,,"2 people found this helpful","Kids love these","https://www.amazon.com/gp/customer-reviews/RGBIHRSXR72GV/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07C2BHFCN","Reviewed in the United States 🇺🇸 on March 21, 2023","Style: Multivitamin Only"
"United States","🇺🇸","2023-02-22","true","31","B07C2BHFCN","3","Not pleasant",,,,,"","Taste not pleasant","https://www.amazon.com/gp/customer-reviews/RV8PXRBDLVTIJ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07C2BHFCN","Reviewed in the United States 🇺🇸 on February 22, 2023","Style: Multivitamin Only"
"United States","🇺🇸","2022-11-24","true","32","B07C2BHFCN","5","My son can't get enough of the amazing taste.He's always asking for extra.My son's been healthy and doing great since on these vitimans. Def repurchasing",,,,,"3 people found this helpful","I am a fan!","https://www.amazon.com/gp/customer-reviews/R3LQJSN7C7XO0Y/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07C2BHFCN","Reviewed in the United States 🇺🇸 on November 24, 2022","Style: Multivitamin Only"
"United States","🇺🇸","2022-12-31","true","33","B07C2BHFCN","5","The taste is really good and easy to swallow.",,,,,"2 people found this helpful","My kids love it","https://www.amazon.com/gp/customer-reviews/R1S9ZMSZXBH5T8/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07C2BHFCN","Reviewed in the United States 🇺🇸 on December 31, 2022","Style: Multivitamin Only"
"United States","🇺🇸","2023-04-29","true","34","B07C2BHFCN","2","Reported to Amazon but they didn’t care. Hello, I have been ordering these vitamin gummies for my child for a long time and it has been great however the most recent order contained these rock, pebble like prices inside, these were only found in 4 of the orange only gummies but we threw the bottle away for safety.","https://m.media-amazon.com/images/I/51K6JMHdTML._SY88.jpg","https://m.media-amazon.com/images/I/71ERusEuFoL._SY88.jpg",,,"3 people found this helpful","Rock like objects inside of gummies","https://www.amazon.com/gp/customer-reviews/R183KBKNUCC5GK/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07C2BHFCN","Reviewed in the United States 🇺🇸 on April 29, 2023","Style: Multivitamin Only"
